IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP19;IP_PROP20;IP_PROP22;IP_PROP23;IP_PROP55;IP_PROP24;IP_PROP34;IP_PROP21;IC_GROUP0;IC_GROUP1;IC_GROUP2
255;Платье Модница на Прогулке;92;Y;;;;;text;;;text;dress-fashionista-on-a-walk-s-l;500;;7;144-12-07;;L;;;;blue;;;
257;Платье Модница на Прогулке;93;Y;;;;;text;;;text;dress-fashionista-on-a-walk-s-xl;500;;7;144-12-02;;XL;;;;blue;;;
258;Платье Модница на Прогулке;94;Y;;;;;text;;;text;dress-fashionista-on-a-walk-s-xs;500;;7;144-12-03;;XS;85;;;blue;;;
259;Платье Модница на Прогулке;95;Y;;;;;text;;;text;dress-fashionista-on-a-walk-s-m;500;;7;144-12-04;;M;;;;blue;;;
260;Платье Модница на Прогулке;96;Y;;;;;text;;;text;dress-fashionista-on-a-walk-s-s;500;;7;144-12-05;;S;;;;blue;;;
282;Платье Красная Фея;107;Y;;;;;text;;;text;dress-red-fairy-kr-l;500;;10;144-15-02;;L;25;;;red;;;
284;Платье Красная Фея;108;Y;;;;;text;;;text;dress-red-fairy-kr-xl;500;;10;144-15-04;;XL;;;;red;;;
285;Платье Красная Фея;109;Y;;;;;text;;;text;dress-red-fairy-kr-xs;500;;10;144-15-05;;XS;;;;red;;;
286;Платье Красная Фея;110;Y;;;;;text;;;text;dress-red-fairy-kr-m;500;;10;144-15-06;;M;;;;red;;;
287;Платье Красная Фея;111;Y;;;;;text;;;text;dress-red-fairy-kr-s;500;;10;144-15-07;;S;;;;red;;;
352;Нижнее белье Ночь наступает;147;Y;;;;;text;;;text;lingerie-night-ch-l;500;;17;235-83-06;;L;;;;black;;;
354;Нижнее белье Ночь наступает;148;Y;;;;;text;;;text;lingerie-night-ch-xl;500;;17;235-83-04;;XL;;;;black;;;
