IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP2;IP_PROP3;IP_PROP4;IP_PROP5;IP_PROP6;IP_PROP7;IP_PROP8;IP_PROP9;IP_PROP10;IP_PROP30;IP_PROP11;IP_PROP15;IP_PROP12;IP_PROP13;IP_PROP16;IP_PROP31;IP_PROP33;IP_PROP14;IP_PROP35;IP_PROP32;IP_PROP18;IP_PROP17;IC_GROUP0;IC_GROUP1;IC_GROUP2
762;Балаклава вязаная;762;Y;;;/upload/main/75c/tpu8hjkbcwnnsy4qa9t9kyzo35qs7xnw.jpg;;text;/upload/main/75c/tpu8hjkbcwnnsy4qa9t9kyzo35qs7xnw.jpg;;text;balaklava-vyazanaya;500;;;;;;;;;BC002447;;;;;0;/upload/main/75c/tpu8hjkbcwnnsy4qa9t9kyzo35qs7xnw.jpg;;;;;;;;/upload/main/75c/tpu8hjkbcwnnsy4qa9t9kyzo35qs7xnw.jpg;;;
766;Берет шерстяной;766;Y;;;/upload/main/f0a/plyfisvhtdc3kd3ccivu6ngx06cvyzf7.jpg;;text;/upload/main/f0a/plyfisvhtdc3kd3ccivu6ngx06cvyzf7.jpg;;text;beret-sherstyanoy;500;;;;;;;;;BC002417;;;;;0;/upload/main/f0a/plyfisvhtdc3kd3ccivu6ngx06cvyzf7.jpg;;;;;;;;/upload/main/f0a/plyfisvhtdc3kd3ccivu6ngx06cvyzf7.jpg;;;
772;Брюки вязаные в мелкий рубчик;772;Y;;;/upload/main/3fc/9m97uu20x0jlkqp1v4rntsjf9ndpr76z.jpg;;text;/upload/main/3fc/9m97uu20x0jlkqp1v4rntsjf9ndpr76z.jpg;;text;bryuki-vyazanye-v-melkiy-rubchik;500;;;;;;;;;BC002349;;;;;0;/upload/main/3fc/9m97uu20x0jlkqp1v4rntsjf9ndpr76z.jpg;;;;;;;;/upload/main/3fc/9m97uu20x0jlkqp1v4rntsjf9ndpr76z.jpg;;;
780;Брюки вязаные гладью из полушерсти;780;Y;;;/upload/main/07c/zm44arv9f04i46zpkplrdv5d90470gef.jpg;;text;/upload/main/07c/zm44arv9f04i46zpkplrdv5d90470gef.jpg;;text;bryuki-vyazanye-gladyu-iz-polushersti;500;;;;;;;;;BC002325;;;;;0;/upload/main/07c/zm44arv9f04i46zpkplrdv5d90470gef.jpg;;;;;;;;/upload/main/07c/zm44arv9f04i46zpkplrdv5d90470gef.jpg;;;
787;Брюки из премиального хлопка;787;Y;;;/upload/iblock/a75/034pso1d4di6041ur3yly4u9qzklpgx6.jpg;;text;/upload/iblock/a75/034pso1d4di6041ur3yly4u9qzklpgx6.jpg;;text;bryuki-iz-premialnogo-hlopka;500;;;;;;;;;BC002307;;;;;0;/upload/iblock/a75/034pso1d4di6041ur3yly4u9qzklpgx6.jpg;;;;;;;;/upload/iblock/a75/034pso1d4di6041ur3yly4u9qzklpgx6.jpg;;;
795;Брюки из хлопка прямые;795;Y;;;/upload/main/8ec/c811sz216hujg33mqkl69qlls1vwyczu.jpg;;text;/upload/main/8ec/c811sz216hujg33mqkl69qlls1vwyczu.jpg;;text;bryuki-iz-hlopka-pryamye;500;;;;;;;;;BC002426;;;;;0;/upload/main/8ec/c811sz216hujg33mqkl69qlls1vwyczu.jpg;;;;;;;;/upload/main/8ec/c811sz216hujg33mqkl69qlls1vwyczu.jpg;;;
804;Брюки кимоно из хлопка;804;Y;;;/upload/main/740/wt12x1b8zok8ymm3c1ug1nd5qy2uyw6w.jpeg;;text;/upload/main/740/wt12x1b8zok8ymm3c1ug1nd5qy2uyw6w.jpeg;;text;bryuki-kimono-iz-hlopka;500;;;;;;;;;BC002431;;;;;0;/upload/main/740/wt12x1b8zok8ymm3c1ug1nd5qy2uyw6w.jpeg;;;;;;;;/upload/main/740/wt12x1b8zok8ymm3c1ug1nd5qy2uyw6w.jpeg;;;
813;Брюки палаццо из полушерсти;813;Y;;;/upload/main/802/dw7enu233bxaiba10aw5wl9db3o7uhi4.jpg;;text;/upload/main/802/dw7enu233bxaiba10aw5wl9db3o7uhi4.jpg;;text;bryuki-palacco-iz-polushersti;500;;;;;;;;;BC002395;;;;;0;/upload/main/802/dw7enu233bxaiba10aw5wl9db3o7uhi4.jpg;;;;;;;;/upload/main/802/dw7enu233bxaiba10aw5wl9db3o7uhi4.jpg;;;
819;Брюки палаццо из хлопка;819;Y;;;/upload/main/65f/h9q33b3c4qstkxlikaymtcwexek3hlt7.jpg;;text;/upload/main/65f/h9q33b3c4qstkxlikaymtcwexek3hlt7.jpg;;text;bryuki-palacco-iz-hlopka;500;;;;;;;;;BC002402;;;;;0;/upload/main/65f/h9q33b3c4qstkxlikaymtcwexek3hlt7.jpg;;;;;;;;/upload/main/65f/h9q33b3c4qstkxlikaymtcwexek3hlt7.jpg;;;
829;Брюки палаццо из хлопка Coco;829;Y;;;/upload/iblock/7db/o81ztpes5la772sy44po0tl75r8ejdrf.jpg;;text;/upload/iblock/7db/o81ztpes5la772sy44po0tl75r8ejdrf.jpg;;text;bryuki-palacco-iz-hlopka-Coco;500;;;;;;;;;BC002306;;;;;0;/upload/iblock/7db/o81ztpes5la772sy44po0tl75r8ejdrf.jpg;;;;;;;;/upload/iblock/7db/o81ztpes5la772sy44po0tl75r8ejdrf.jpg;;;
834;Вязаная водолазка в мелкий рубчик;834;Y;;;/upload/main/516/phcgrbamkezpqiqp3c367bcxdryoqhju.jpg;;text;/upload/main/516/phcgrbamkezpqiqp3c367bcxdryoqhju.jpg;;text;vyazanaya-vodolazka-v-melkiy-rubchik;500;;;;;;;;;BC002466;;;;;0;/upload/main/516/phcgrbamkezpqiqp3c367bcxdryoqhju.jpg;;;;;;;;/upload/main/516/phcgrbamkezpqiqp3c367bcxdryoqhju.jpg;;;
844;Вязаное платье Sharm с закрытой спиной;844;Y;;;/upload/main/86f/tk1sbah6do28779iti1lpg779djgvwb4.jpg;;text;/upload/main/86f/tk1sbah6do28779iti1lpg779djgvwb4.jpg;;text;vyazanoe-plate-Sharm-s-zakrytoy-spinoy;500;;;;;;;;;BC002380;;;;;0;/upload/main/86f/tk1sbah6do28779iti1lpg779djgvwb4.jpg;;;;;;;;/upload/main/86f/tk1sbah6do28779iti1lpg779djgvwb4.jpg;;;
