CODE;PARENT_CODE;TYPE_CODE;NAME.RU.NAME;NAME.EN.NAME;NAME.UA.NAME;EXT.YAMARKET.0;EXT.ZIP.0;LONGITUDE;LATITUDE;EXT.ZIP_LOWER
0000445112;0000028056;CITY;Ростов-на-Дону;;;39;344000;;;344079,344113,344058,344030,344013,344092,344011,344090,344068,344020,344000,344034,344029,344041,344045,344093,344009,344023,344025,344033,344064,344065,344056,344038,344004,344001,344112,344016,344114,344019,344048,344032,344012,344101,344006,344094,344037,344039,344055,344002,344111,344010,344091,344069,344018,344015,344022,344082,344095,344072,344116
0000447903;0000028056;CITY;Волгодонск;;;11036;347360;;;347382,347360,347386,347366,347375,347383,347381,347389,347486,347368,347380,347371,347369,347395
0000448252;0000028056;CITY;Батайск;;;11033;346880;;;346889,346880,346883,346881,346893,346884,346882,346887,346892,346886,346859,346894,346888
0000448699;0000028056;CITY;Гуково;;;11037;346399;;;347880,347871,347873,347872,347874,347879,347890,347892,347886
0000449065;0000028056;CITY;Зверево;;;100451;346310;;;346312,346311,347831,346310,346319
0000449174;0000028056;CITY;Каменск-Шахтинский;;;11043;347800;;;347803,347801,347810,347809,347805,347812,347800,347831,347820,347825
0000449592;0000028056;CITY;Донецк;;;11038;346330;;;346338,346333,346330,346332,346345,346335,346341,346342,346337,346331
0000450064;0000028056;CITY;Новочеркасск;;;238;346400;;;346400,346413,346430,346410,346406,346421,346423,346416,346408
0000450563;0000028056;CITY;Новошахтинск;;;11049;346900;;;346937,346918,346900,346909,346902,346901,346906,346908,346916,346910,346911,346914,346919,346912,346935,346931,346903,346933,346905,346930,346907,346934,346915
0000451237;0000028056;CITY;Шахты;;;11053;346500;;;346521,346513,346503,346506,346500,346510,346519,346535,346527,346516,346504,346537,346505,346524,346528,346536,346530,346538,346523,346517,346512,346518,346525,346480
0000452430;0000028056;CITY;Таганрог;;;971;347900;;;347909,347905,347942,347900,347923,347930,347913,347935,347904,347917,347910,347922,347931,347936,347924,347916,347932,347927,347902,347939,347928,347000,347943
0000453118;0000028056;SUBREGION;Азовский район;;;;;;;
0000454629;0000028056;CITY;Азов;;;11030;346780;;;346780,346783,346781,346789,346787,346782
0000454851;0000028056;SUBREGION;Аксайский район;;;;;;;
0000455374;0000454851;CITY;Аксай;;;11031;346720;;;
0000455989;0000454851;VILLAGE;Ольгинская станица;;;21668;346702;;;
0000456227;0000028056;SUBREGION;Белокалитвинский район;;;;;;;
0000456678;0000456227;CITY;Белая Калитва;;;11034;347040;;;347045,347042,347040,347044,347041
0000457451;0000028056;SUBREGION;Багаевский район;;;;;;;
0000457586;0000457451;VILLAGE;Багаевская станица;;;11032;;;;346611,346612,346610
0000457898;0000028056;SUBREGION;Боковский район;;;;346250;;;
0000457910;0000457898;VILLAGE;Боковская станица;;;100557;346250;;;
0000458116;0000028056;SUBREGION;Верхнедонской район;;;;;;;
0000458121;0000458116;VILLAGE;Казанская станица;;;100558;346170;;;
0000458500;0000028056;SUBREGION;Веселовский район;;;;;;;
0000458774;0000028056;SUBREGION;Дубовский район;;;;;;;
0000458818;0000458774;VILLAGE;Дубовское село;;;100525;347410;;;
0000459157;0000028056;SUBREGION;Волгодонской район;;;;;;;
0000459383;0000459157;VILLAGE;Романовская станица;;;101828;347350;;;
0000459531;0000028056;SUBREGION;Егорлыкский район;;;;347660;;;
0000459532;0000459531;VILLAGE;Егорлыкская станица;;;11039;;;;347662,347660,347663,347664,347661
0000459872;0000028056;SUBREGION;Заветинский район;;;;;;;
0000459873;0000459872;VILLAGE;Заветное село;;;100560;347430;;;
0000460082;0000028056;SUBREGION;Зерноградский район;;;;;;;
0000460331;0000460082;CITY;Зерноград;;;11040;347740;;;
0000460745;0000028056;SUBREGION;Зимовниковский район;;;;;;;
0000460746;0000460745;VILLAGE;Зимовники посёлок;;;11041;;;;347463,347462,347460,347461
0000461171;0000028056;SUBREGION;Каменский район;;;;;;;
0000461261;0000461171;VILLAGE;Глубокий рабочий посёлок;;;100561;;;;347850,347851
0000461995;0000028056;SUBREGION;Кагальницкий район;;;;;;;
0000462142;0000461995;VILLAGE;Кагальницкая станица;;;21671;;;;347701,347700
0000462410;0000028056;SUBREGION;Кашарский район;;;;;;;
0000462485;0000462410;VILLAGE;Кашары слобода;;;11044;346200;;;
0000462867;0000028056;SUBREGION;Красносулинский район;;;;;;;
0000463433;0000462867;CITY;Красный Сулин;;;11045;346350;;;346356,346351,346352,346350,346361,346353,346358,346359,346357,346360,346355,346390
0000463877;0000028056;SUBREGION;Константиновский район;;;;;;;
0000463878;0000463877;CITY;Константиновск;;;11046;347250;;;347250,347252,347254
0000464358;0000028056;SUBREGION;Куйбышевский район;;;;;;;
0000464438;0000464358;VILLAGE;Куйбышево село;;;100562;346940;;;
0000464579;0000028056;SUBREGION;Мартыновский район;;;;;;;
0000464655;0000464579;VILLAGE;Большая Мартыновка слобода;;;100563;346660;;;
0000465009;0000028056;SUBREGION;Матвеево-Курганский район;;;;;;;
0000465183;0000465009;VILLAGE;Матвеев Курган посёлок;;;100564;346970;;;
0000465659;0000028056;SUBREGION;Миллеровский район;;;;;;;
0000465776;0000465659;CITY;Миллерово;;;11047;346130;;;
0000466092;0000465659;VILLAGE;Нижнекамышинка слобода;;;101696;346119;;;
0000466655;0000028056;SUBREGION;Милютинский район;;;;;;;
0000466776;0000466655;VILLAGE;Милютинская станица;;;100565;347120;;;
0000467151;0000028056;SUBREGION;Морозовский район;;;;;;;
0000467152;0000467151;CITY;Морозовск;;;11048;347210;;;347211,347210,347214
0000467591;0000028056;SUBREGION;Мясниковский район;;;;;;;
0000467692;0000467591;VILLAGE;Чалтырь село;;;21670;;;;346800,346803,346802,346801
0000467997;0000028056;SUBREGION;Неклиновский район;;;;;;;
0000468000;0000467997;VILLAGE;Покровское село;;;11050;;;;346831,346830
0000468426;0000467997;VILLAGE;Васильево-Ханжоновка село;;;101390;346860;;;
0000469184;0000028056;SUBREGION;Обливский район;;;;;;;
0000469269;0000469184;VILLAGE;Обливская станица;;;100566;;;;347140,347141,347142
0000469504;0000028056;SUBREGION;Октябрьский район;;;;;;;
0000469573;0000469504;VILLAGE;Каменоломни рабочий посёлок;;;11042;;;;346481,346480,346483,346538
0000469640;0000469504;VILLAGE;Персиановский посёлок;;;101598;346493;;;
0000470442;0000028056;SUBREGION;Орловский район;;;;;;;
0000470443;0000470442;VILLAGE;Орловский посёлок;;;100567;;;;347512,347513,347511,347521,347510
0000470951;0000028056;SUBREGION;Песчанокопский район;;;;;;;
0000471123;0000470951;VILLAGE;Песчанокопское село;;;100568;;;;347572,347570,347571
0000471265;0000028056;SUBREGION;Пролетарский район;;;;;;;
0000471372;0000471265;CITY;Пролетарск;;;20713;347540;;;347540,347541,347544,347542,347536
0000471672;0000028056;SUBREGION;Ремонтненский район;;;;;;;
0000471685;0000471672;VILLAGE;Ремонтное село;;;100569;347480;;;
0000471884;0000028056;SUBREGION;Родионово-Несветайский район;;;;;;;
