CODE;PARENT_CODE;TYPE_CODE;NAME.RU.NAME;NAME.EN.NAME;NAME.UA.NAME;EXT.YAMARKET.0;EXT.ZIP.0;LONGITUDE;LATITUDE;EXT.ZIP_LOWER
0000000001;;COUNTRY;Беларусь;Belarus;;149;;;;
0000000002;0000000001;REGION;Брестская область;;;29632;;;;
0000000044;0000000001;REGION;Витебская область;;;29633;;;;
0000000095;0000000001;REGION;Гомельская область;;;29631;;;;
0000000142;0000000001;REGION;Минская область;;;29630;;;;
0000000195;0000000001;REGION;Могилёвская область;;;29629;;;;
0000000238;0000000001;REGION;Гродненская область;;;29634;;;;
0000000276;;COUNTRY;Казахстан;Kazakhstan;;;;;;
0000000277;0000000276;REGION;Алматинская область;Almaty region;;;;;;
0000000288;0000000276;REGION;Атырау;Atyrau region;;;;;;
0000000290;0000000276;REGION;Восточно-Казахстанская область;East Kazakhstan region;;;;;;
0000000300;0000000276;REGION;Жамбыльская область;Jambyl region;;;;;;
0000000306;0000000276;REGION;Западно-Казахстанская область;West Kazakhstan region;;;;;;
0000000310;0000000276;REGION;Карагандинская область;Karagandy region;;;;;;
0000000319;0000000276;REGION;Костанайская область;Kostanay region;;;;;;
0000000326;0000000276;REGION;Кызылординская область;Kyzylorda region;;;;;;
0000000330;0000000276;REGION;Мангистауская область;Mangystau region;;;;;;
0000000333;0000000276;REGION;Павлодарская область;Pavlodar region;;;;;;
0000000338;0000000276;REGION;Южно-Казахстанская область;South Kazakhstan region;;;;;;
0000000346;0000000276;REGION;Акмолинская область;Akmola region;;;;;;
0000000355;0000000276;REGION;Актюбинская область;Aktobe region;;;;;;
0000000360;0000000276;REGION;Северо-Казахстанская область;North Kazakhstan region;;;;;;
0000000362;0000000276;REGION;Нур-Султан;Nur-Sultan;;;;;;
0000000364;;COUNTRY;Украина;Ukraine;Україна;187;;;;
0000000365;0000000364;COUNTRY_DISTRICT;Юг;;Південь;20526;;;;
0000000366;0000000365;REGION;Автономная Республика Крым;;Автономна Республіка Крим;;;;;
0000000924;0000000365;REGION;Николаевская область;;Миколаївська область;20543;;;;
0000001135;0000000365;REGION;Одесская область;;Одеська область;20541;;;;
0000001534;0000001523;CITY;Севастополь;;Севастополь;;99001;;;99703,99802,99811,99049,99804,99805,99806,99819,99717,99810,99815,99809,99816,99814,99026,99716,99817,99808,99813
0000001537;0000000365;REGION;Херсонская область;;Херсонська область;20542;;;;
0000001732;0000000364;COUNTRY_DISTRICT;Запад;;Захід;20524;;;;
0000001733;0000001732;REGION;Ивано-Франковская область;;Івано-Франківська область;20532;;;;
0000002320;0000001732;REGION;Волынская область;;Волинська область;20550;;;;
0000002822;0000001732;REGION;Закарпатская область;;Закарпатська область;20530;;;;
0000003173;0000001732;REGION;Львовская область;;Львівська область;20529;;;;
0000004029;0000001732;REGION;Ровенская область;;Рівненська область;20534;;;;
0000004450;0000001732;REGION;Тернопольская область;;Тернопільська область;20531;;;;
0000004897;0000001732;REGION;Хмельницкая область;;Хмельницька область;20535;;;;
0000005372;0000001732;REGION;Черновицкая область;;Чернівецька область;20533;;;;
0000005634;0000000364;COUNTRY_DISTRICT;Центр;;Центр;20527;;;;
0000005635;0000005634;REGION;Винницкая область;;Вінницька область;20545;;;;
0000006446;0000005634;REGION;Житомирская область;;Житомирська область;20547;;;;
0000007062;0000005634;REGION;Кировоградская область;;Кіровоградська область;20548;;;;
0000007334;0000005634;REGION;Киевская область;;Київська область;20544;;;;
0000007815;0000005634;CITY;Киев;;Київ, місто;;01001;;;
